SRC,MISSION_TIME,SS_TIME,ID,EVENT_INFO
SW_EM,2018-08-26 13:33:06.344,2018-08-26 13-33-05,EVENT,LOW_MEMORY 99.508MB
SW_EM,2018-08-26 13:33:06.409,2018-08-26 13-33-06,EVENT,LOW_MEMORY 99.548MB
SW_EM,2018-08-26 13:33:08.358,2018-08-26 13-33-07,EVENT,LOW_MEMORY 99.468MB
SW_EM,2018-08-26 13:33:09.382,2018-08-26 13-33-08,EVENT,LOW_MEMORY 99.512MB
SW_EM,2018-08-26 13:33:10.338,2018-08-26 13-33-09,EVENT,LOW_MEMORY 99.532MB
SW_EM,2018-08-26 13:33:11.336,2018-08-26 13-33-10,EVENT,LOW_MEMORY 99.408MB
SW_EM,2018-08-26 13:33:12.336,2018-08-26 13-33-11,EVENT,LOW_MEMORY 99.408MB
SW_EM,2018-08-26 13:33:13.335,2018-08-26 13-33-12,EVENT,LOW_MEMORY 99.476MB
SW_EM,2018-08-26 13:33:14.404,2018-08-26 13-33-13,EVENT,LOW_MEMORY 99.336MB
SW_EM,2018-08-26 13:33:15.367,2018-08-26 13-33-14,EVENT,LOW_MEMORY 99.508MB
SW_EM,2018-08-26 13:33:16.339,2018-08-26 13-33-15,EVENT,LOW_MEMORY 99.408MB
SW_EM,2018-08-26 13:33:16.447,2018-08-26 13-33-16,EVENT,LOW_MEMORY 99.424MB
SW_EM,2018-08-26 13:33:18.320,2018-08-26 13-33-17,EVENT,LOW_MEMORY 99.524MB
SW_EM,2018-08-26 13:33:19.392,2018-08-26 13-33-18,EVENT,LOW_MEMORY 99.492MB
SW_EM,2018-08-26 13:33:20.345,2018-08-26 13-33-19,EVENT,LOW_MEMORY 99.524MB
SW_EM,2018-08-26 13:33:21.346,2018-08-26 13-33-20,EVENT,LOW_MEMORY 99.468MB
SW_EM,2018-08-26 13:33:22.348,2018-08-26 13-33-21,EVENT,LOW_MEMORY 99.524MB
SW_EM,2018-08-26 13:33:23.342,2018-08-26 13-33-22,EVENT,LOW_MEMORY 99.44MB
SW_EM,2018-08-26 13:33:24.407,2018-08-26 13-33-23,EVENT,LOW_MEMORY 99.524MB
SW_EM,2018-08-26 13:33:25.328,2018-08-26 13-33-24,EVENT,LOW_MEMORY 99.524MB
SW_EM,2018-08-26 13:33:26.343,2018-08-26 13-33-25,EVENT,LOW_MEMORY 99.344MB
SW_EM,2018-08-26 13:33:26.452,2018-08-26 13-33-26,EVENT,LOW_MEMORY 99.416MB
SW_EM,2018-08-26 13:33:28.356,2018-08-26 13-33-27,EVENT,LOW_MEMORY 99.248MB
SW_EM,2018-08-26 13:33:29.353,2018-08-26 13-33-28,EVENT,LOW_MEMORY 99.296MB
SW_EM,2018-08-26 13:33:30.327,2018-08-26 13-33-29,EVENT,LOW_MEMORY 99.36MB
SW_EM,2018-08-26 13:33:31.326,2018-08-26 13-33-30,EVENT,LOW_MEMORY 99.132MB
SW_EM,2018-08-26 13:33:32.327,2018-08-26 13-33-31,EVENT,LOW_MEMORY 99.252MB
SW_EM,2018-08-26 13:33:33.343,2018-08-26 13-33-32,EVENT,LOW_MEMORY 99.208MB
SW_EM,2018-08-26 13:33:34.280,2018-08-26 13-33-33,EVENT,LOW_MEMORY 99.352MB
SW_EM,2018-08-26 13:33:35.362,2018-08-26 13-33-34,EVENT,LOW_MEMORY 99.212MB
SW_EM,2018-08-26 13:33:36.362,2018-08-26 13-33-35,EVENT,LOW_MEMORY 99.4MB
SW_EM,2018-08-26 13:33:36.465,2018-08-26 13-33-36,EVENT,LOW_MEMORY 99.4MB
SW_EM,2018-08-26 13:33:38.323,2018-08-26 13-33-37,EVENT,LOW_MEMORY 99.26MB
SW_EM,2018-08-26 13:33:39.345,2018-08-26 13-33-38,EVENT,LOW_MEMORY 99.064MB
SW_EM,2018-08-26 13:33:40.365,2018-08-26 13-33-39,EVENT,LOW_MEMORY 99.136MB
SW_EM,2018-08-26 13:33:41.346,2018-08-26 13-33-40,EVENT,LOW_MEMORY 99.208MB
SW_EM,2018-08-26 13:33:42.302,2018-08-26 13-33-41,EVENT,LOW_MEMORY 99.212MB
SW_EM,2018-08-26 13:33:43.341,2018-08-26 13-33-42,EVENT,LOW_MEMORY 99.244MB
SW_EM,2018-08-26 13:33:44.340,2018-08-26 13-33-43,EVENT,LOW_MEMORY 99.172MB
SW_EM,2018-08-26 13:33:45.333,2018-08-26 13-33-44,EVENT,LOW_MEMORY 99.128MB
SW_EM,2018-08-26 13:33:46.273,2018-08-26 13-33-45,EVENT,LOW_MEMORY 99.228MB
SW_EM,2018-08-26 13:33:46.465,2018-08-26 13-33-46,EVENT,LOW_MEMORY 99.292MB
SW_EM,2018-08-26 13:33:48.349,2018-08-26 13-33-47,EVENT,LOW_MEMORY 99.236MB
SW_EM,2018-08-26 13:33:49.330,2018-08-26 13-33-48,EVENT,LOW_MEMORY 99.204MB
SW_EM,2018-08-26 13:33:50.326,2018-08-26 13-33-49,EVENT,LOW_MEMORY 99.3MB
SW_EM,2018-08-26 13:33:51.308,2018-08-26 13-33-50,EVENT,LOW_MEMORY 99.1MB
SW_EM,2018-08-26 13:33:52.320,2018-08-26 13-33-51,EVENT,LOW_MEMORY 99.236MB
SW_EM,2018-08-26 13:33:53.363,2018-08-26 13-33-52,EVENT,LOW_MEMORY 99.204MB
SW_EM,2018-08-26 13:33:54.324,2018-08-26 13-33-53,EVENT,LOW_MEMORY 99.204MB
SW_EM,2018-08-26 13:33:55.330,2018-08-26 13-33-54,EVENT,LOW_MEMORY 99.22MB
SW_EM,2018-08-26 13:33:56.336,2018-08-26 13-33-55,EVENT,LOW_MEMORY 99.252MB
SW_EM,2018-08-26 13:33:56.510,2018-08-26 13-33-56,EVENT,LOW_MEMORY 99.064MB
SW_EM,2018-08-26 13:33:58.362,2018-08-26 13-33-57,EVENT,LOW_MEMORY 98.9MB
