SRC,MISSION_TIME,SS_TIME,ID,SWEM_VERSION,SWEM_STATUS,CPU_USE,CPU_TEMP,MEM_FREE,TC_RX,TC_REJ,INTERN_TEMP,EXTERN_TEMP,EXTERN_PRESS,RELAT_HUMID,DERIVED_ALT,DEW_POINT
SW_EM,2018-08-26 03:17:06.787,2018-08-26 03-17-02,HK,2.5,EM_READY,52.17,64.5,445.764,0,0,39.19,18.68,979.29,1.34,287.55,-36.16
SW_EM,2018-08-26 03:17:33.054,2018-08-26 03-17-32,HK,2.5,EM_READY,48.03,63.4,445.712,0,0,39.25,18.68,979.35,1.33,287.05,-36.17
SW_EM,2018-08-26 03:18:03.078,2018-08-26 03-18-02,HK,2.5,EM_READY,57.66,63.9,445.696,0,0,39.19,18.68,979.33,1.36,287.19,-36.00
SW_EM,2018-08-26 03:18:33.157,2018-08-26 03-18-32,HK,2.5,EM_READY,51.02,63.9,445.148,0,0,39.13,18.68,979.28,1.17,287.61,-37.53
SW_EM,2018-08-26 03:19:03.225,2018-08-26 03-19-03,HK,2.5,EM_READY,53.85,64.5,444.876,0,0,39.13,18.67,979.19,1.16,288.39,-37.63
SW_EM,2018-08-26 03:19:33.275,2018-08-26 03-19-33,HK,2.5,EM_READY,55.00,63.9,444.564,0,0,39.13,18.67,979.22,1.17,288.13,-37.54
SW_EM,2018-08-26 03:20:03.389,2018-08-26 03-20-03,HK,2.5,EM_READY,50.00,64.5,444.356,0,0,39.19,18.67,979.21,1.24,288.24,-36.88
SW_EM,2018-08-26 03:20:33.421,2018-08-26 03-20-33,HK,2.5,EM_READY,53.74,63.9,444.016,0,0,39.19,18.66,979.21,1.08,288.20,-38.35
SW_EM,2018-08-26 03:21:06.759,2018-08-26 03-21-03,HK,2.5,EM_READY,53.21,64.5,443.256,0,0,39.19,18.65,967.47,2.09,389.98,-31.52
SW_EM,2018-08-26 03:21:33.512,2018-08-26 03-21-33,HK,2.5,EM_READY,51.30,63.9,443.092,0,0,39.13,18.56,940.03,3.70,632.67,-25.37
SW_EM,2018-08-26 03:22:03.534,2018-08-26 03-22-03,HK,2.5,EM_READY,52.46,63.9,442.812,0,0,39.19,18.42,912.78,1.34,880.76,-36.27
SW_EM,2018-08-26 03:22:33.571,2018-08-26 03-22-33,HK,2.5,EM_READY,49.03,63.4,442.652,0,0,39.19,18.22,885.67,62.42,1135.08,10.90
SW_EM,2018-08-26 03:23:03.613,2018-08-26 03-23-03,HK,2.5,EM_READY,51.54,63.4,442.38,0,0,39.13,17.92,860.31,56.29,1380.16,9.08
SW_EM,2018-08-26 03:23:33.601,2018-08-26 03-23-33,HK,2.5,EM_READY,54.55,63.4,442.148,0,0,39.13,17.53,835.83,52.36,1623.60,7.66
SW_EM,2018-08-26 03:24:03.664,2018-08-26 03-24-03,HK,2.5,EM_READY,55.05,63.9,442.04,0,0,39.06,17.28,810.03,51.60,1888.13,7.22
SW_EM,2018-08-26 03:24:33.682,2018-08-26 03-24-33,HK,2.5,EM_READY,52.30,63.4,441.744,0,0,39.00,16.83,785.58,49.89,2146.60,6.31
SW_EM,2018-08-26 03:25:06.723,2018-08-26 03-25-03,HK,2.5,EM_READY,54.82,64.5,441.784,0,0,39.00,16.39,761.01,47.57,2414.59,5.23
SW_EM,2018-08-26 03:25:33.766,2018-08-26 03-25-33,HK,2.5,EM_READY,51.17,63.4,441.268,0,0,38.94,15.93,737.11,42.88,2683.71,3.33
SW_EM,2018-08-26 03:26:03.844,2018-08-26 03-26-03,HK,2.5,EM_READY,58.13,63.9,440.86,0,0,38.94,15.23,714.92,41.73,2941.61,2.32
SW_EM,2018-08-26 03:26:33.906,2018-08-26 03-26-33,HK,2.5,EM_READY,55.68,64.5,440.52,0,0,38.88,14.66,692.64,38.11,3208.57,0.54
SW_EM,2018-08-26 03:27:03.829,2018-08-26 03-27-03,HK,2.5,EM_READY,53.60,63.9,440.348,0,0,38.88,14.10,670.63,36.64,3480.97,-0.50
SW_EM,2018-08-26 03:27:33.989,2018-08-26 03-27-33,HK,2.5,EM_READY,51.72,64.5,439.784,0,0,38.81,13.29,649.49,34.28,3751.12,-2.20
SW_EM,2018-08-26 03:28:04.048,2018-08-26 03-28-03,HK,2.5,EM_READY,0.00,63.9,439.564,0,0,38.69,12.54,627.82,31.65,4037.38,-3.86
SW_EM,2018-08-26 03:28:34.090,2018-08-26 03-28-34,HK,2.5,EM_READY,57.69,63.4,439.128,0,0,38.69,11.81,608.00,30.01,4307.94,-5.20
SW_EM,2018-08-26 03:29:06.683,2018-08-26 03-29-04,HK,2.5,EM_READY,52.63,64.5,438.76,0,0,38.63,10.80,588.49,28.61,4583.08,-6.71
SW_EM,2018-08-26 03:29:34.140,2018-08-26 03-29-34,HK,2.5,EM_READY,51.11,63.4,438.652,0,0,38.63,9.96,569.02,28.17,4866.80,-7.64
SW_EM,2018-08-26 03:30:04.218,2018-08-26 03-30-04,HK,2.5,EM_READY,51.92,63.9,438.34,0,0,38.50,9.18,551.67,26.94,5128.06,-8.89
SW_EM,2018-08-26 03:30:34.196,2018-08-26 03-30-34,HK,2.5,EM_READY,60.61,64.5,437.9,0,0,38.44,8.28,533.64,25.35,5408.23,-10.45
SW_EM,2018-08-26 03:31:04.340,2018-08-26 03-31-04,HK,2.5,EM_READY,60.26,63.4,438.164,0,0,38.38,7.28,516.23,24.29,5688.08,-11.84
SW_EM,2018-08-26 03:31:34.348,2018-08-26 03-31-34,HK,2.5,EM_READY,64.10,64.5,437.768,0,0,38.38,6.41,499.31,22.96,5969.12,-13.29
SW_EM,2018-08-26 03:32:04.413,2018-08-26 03-32-04,HK,2.5,EM_READY,62.03,64.5,437.52,0,0,38.31,5.49,482.72,21.06,6254.16,-15.13
SW_EM,2018-08-26 03:32:34.444,2018-08-26 03-32-34,HK,2.5,EM_READY,56.52,64.5,437.296,0,0,38.25,4.49,466.93,19.56,6534.71,-16.87
SW_EM,2018-08-26 03:33:04.477,2018-08-26 03-33-04,HK,2.5,EM_READY,50.55,63.9,437.272,0,0,38.19,3.67,451.50,17.39,6818.06,-18.96
SW_EM,2018-08-26 03:33:34.476,2018-08-26 03-33-34,HK,2.5,EM_READY,55.00,63.9,437.148,0,0,38.13,2.69,436.20,14.76,7108.82,-21.69
SW_EM,2018-08-26 03:34:04.501,2018-08-26 03-34-04,HK,2.5,EM_READY,48.31,64.5,437.18,0,0,38.06,1.82,420.91,12.67,7409.84,-24.14
SW_EM,2018-08-26 03:34:34.518,2018-08-26 03-34-34,HK,2.5,EM_READY,57.01,63.4,437.18,0,0,38.00,0.92,405.92,9.49,7715.77,-28.07
SW_EM,2018-08-26 03:35:04.582,2018-08-26 03-35-04,HK,2.5,EM_READY,52.38,64.5,437.064,0,0,37.94,-0.13,391.60,6.02,8018.63,-33.73
SW_EM,2018-08-26 03:35:35.882,2018-08-26 03-35-34,HK,2.5,EM_READY,53.15,64.5,436.892,0,0,37.88,-1.32,377.93,5.62,8318.32,-35.33
SW_EM,2018-08-26 03:36:04.366,2018-08-26 03-36-04,HK,2.5,EM_READY,52.24,64.5,436.86,0,0,37.81,-2.45,364.49,6.31,8623.76,-35.00
SW_EM,2018-08-26 03:36:34.413,2018-08-26 03-36-34,HK,2.5,EM_READY,54.36,64.5,436.892,0,0,37.75,-3.59,351.65,5.88,8926.33,-36.58
SW_EM,2018-08-26 03:37:04.498,2018-08-26 03-37-04,HK,2.5,EM_READY,49.67,64.5,436.984,0,0,37.69,-4.80,339.39,4.83,9225.53,-39.47
SW_EM,2018-08-26 03:37:34.361,2018-08-26 03-37-34,HK,2.5,EM_READY,48.98,64.5,437.24,0,0,37.63,-5.99,327.59,4.42,9524.03,-41.22
SW_EM,2018-08-26 03:38:04.426,2018-08-26 03-38-04,HK,2.5,EM_READY,53.25,64.5,436.728,0,0,37.50,-7.16,315.82,4.09,9832.61,-42.82
SW_EM,2018-08-26 03:38:34.494,2018-08-26 03-38-34,HK,2.5,EM_READY,54.91,64.5,436.928,0,0,37.50,-8.52,304.38,3.06,10143.84,-46.54
SW_EM,2018-08-26 03:39:04.543,2018-08-26 03-39-04,HK,2.5,EM_READY,53.93,64.5,436.564,0,0,37.44,-9.84,293.06,2.67,10463.63,-48.74
SW_EM,2018-08-26 03:39:35.813,2018-08-26 03-39-34,HK,2.5,EM_READY,50.27,64.5,435.928,0,0,37.25,-10.86,282.11,3.52,10784.73,-46.94
SW_EM,2018-08-26 03:40:04.442,2018-08-26 03-40-04,HK,2.5,EM_READY,55.98,65.0,435.832,0,0,37.19,-12.07,271.36,2.89,11112.44,-49.63
SW_EM,2018-08-26 03:40:34.460,2018-08-26 03-40-34,HK,2.5,EM_READY,52.04,64.5,435.472,0,0,37.13,-13.25,261.02,3.26,11439.97,-49.40
SW_EM,2018-08-26 03:41:04.499,2018-08-26 03-41-04,HK,2.5,EM_READY,54.95,64.5,435.408,0,0,37.06,-14.66,251.12,2.90,11766.28,-51.46
SW_EM,2018-08-26 03:41:34.350,2018-08-26 03-41-35,HK,2.5,EM_READY,56.13,64.5,435.232,0,0,37.00,-15.77,241.88,4.10,12082.56,-49.19
SW_EM,2018-08-26 03:42:04.469,2018-08-26 03-42-05,HK,2.5,EM_READY,53.99,64.5,435.076,0,0,36.88,-17.15,232.93,3.23,12400.60,-52.34
